1,1,0.01639344262295082,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
1,2,0.01639344262295082,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
2,1,0.03278688524590164,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
2,2,0.03278688524590164,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
3,1,0.04918032786885246,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
3,2,0.04918032786885246,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
4,1,0.06557377049180328,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
4,2,0.06557377049180328,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
5,1,0.08196721311475409,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
5,2,0.08196721311475409,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
6,1,0.09836065573770492,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
6,2,0.09836065573770492,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
7,1,0.11475409836065574,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
7,2,0.11475409836065574,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
8,1,0.13114754098360656,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
8,2,0.13114754098360656,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
9,1,0.14754098360655737,BoulwareNegotiationParty@0,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
9,2,0.14754098360655737,Agent21@1,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
