sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
2.680;130;;12s;Yes;No;2;0.56809;0.89417;0.10901;0.37664;1.46226;Agent21@0;ConcederNegotiationParty@1;0.8941666666666668;0.5680914815605718;0.8941666666666668;0.5680914815605718;0.8941666666666668;0.5680914815605718;0.0;0.0;0.8941666666666668;0.5680914815605718;party1_utility.xml;party2_utility.xml
1.030;61;;12s;Yes;No;2;0.70917;0.95971;0.02068;0.08198;1.66888;ConcederNegotiationParty@2;Agent21@3;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.0;0.0;0.7091666666666667;0.9597117522430285;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@2833cc44 failed: failed to construct agent : Execution failed of init<IAMhaggler2012@4,Participant[Party4,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[agents.anac.y2012.IAMhaggler2012, group21.Agent21];12s;No;;0;;;;;;IAMhaggler2012;Agent21;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@1b68ddbd failed: failed to construct agent : Execution failed of init<HardHeaded@6,Participant[Party6,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[agents.anac.y2011.HardHeaded, group21.Agent21];12s;No;;0;;;;;;HardHeaded;Agent21;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
8.813;488;;12s;Yes;No;2;0.74190;0.78833;0.09007;0.18670;1.53023;BoulwareNegotiationParty@8;Agent21@9;0.7883333333333333;0.7418981716525881;0.7883333333333333;0.7418981716525881;0.7883333333333333;0.7418981716525881;0.0;0.0;0.7883333333333333;0.7418981716525881;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@76f2b07d failed: failed to construct agent : Execution failed of init<IAMhaggler2012@11,Participant[Party11,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[group21.Agent21, agents.anac.y2012.IAMhaggler2012];12s;No;;0;;;;;;Agent21;IAMhaggler2012;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@6ee52dcd failed: failed to construct agent : Execution failed of init<IAMhaggler2012@13,Participant[Party13,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[negotiator.parties.ConcederNegotiationParty, agents.anac.y2012.IAMhaggler2012];12s;No;;0;;;;;;ConcederNegotiationParty;IAMhaggler2012;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@2781e022 failed: failed to construct agent : Execution failed of init<IAMhaggler2012@14,Participant[Party14,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[agents.anac.y2012.IAMhaggler2012, negotiator.parties.ConcederNegotiationParty];12s;No;;0;;;;;;IAMhaggler2012;ConcederNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@4232c52b failed: failed to construct agent : Execution failed of init<HardHeaded@16,Participant[Party16,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[agents.anac.y2011.HardHeaded, negotiator.parties.ConcederNegotiationParty];12s;No;;0;;;;;;HardHeaded;ConcederNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
5.419;20396;;12s;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@18;ConcederNegotiationParty@19;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
