sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
3.171;56;;60rounds;Yes;No;3;0.60987;0.88203;0.03450;0.36758;2.19606;Agent21@6;Agent21@7;Agent21@8;0.7041666666666667;0.6098714027050828;0.8820254568948497;0.7041666666666667;0.6098714027050828;0.8820254568948497;0.7041666666666667;0.6098714027050828;0.8820254568948497;0.0;0.0;0.0;0.7041666666666667;0.6098714027050828;0.8820254568948497;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.488;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;MetaAgent2013@9;Agent21@10;Agent21@11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;40;Session genius.core.session.Session@f7844b1 failed: Failed to execute protocol: null:[agents.SimilarityAgent, /Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class, /Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class];60rounds;No;;0;;;;;;SimilarityAgent;Agent21;Agent21;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
2.244;56;;60rounds;Yes;No;3;0.51583;0.91279;0.06602;0.27303;2.10332;Agent21@15;MetaAgent2013@16;Agent21@17;0.5158333333333334;0.9127857081126278;0.6747028698347945;0.5158333333333334;0.9127857081126278;0.6747028698347945;0.5158333333333334;0.0;0.6747028698347945;0.0;0.0;0.0;0.5158333333333334;0.9127857081126278;0.6747028698347945;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.260;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;MetaAgent2013@18;MetaAgent2013@19;Agent21@20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;57;Session genius.core.session.Session@306ec85 failed: Failed to execute protocol: null:[agents.SimilarityAgent, agents.anac.y2013.MetaAgent.MetaAgent2013, /Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class];60rounds;No;;0;;;;;;SimilarityAgent;MetaAgent2013;Agent21;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
2.173;43;;60rounds;Yes;No;3;0.59214;0.86191;0.00000;0.36621;2.22822;Agent21@24;SimilarityAgent@25;Agent21@26;0.7741666666666667;0.5921410847116175;0.8619140878539074;0.7741666666666667;0.5921410847116175;0.8619140878539074;0.7741666666666667;0.0;0.8619140878539074;0.0;0.0;0.0;0.7741666666666667;0.5921410847116175;0.8619140878539074;party1_utility.xml;party2_utility.xml;party3_utility.xml
;49;Session genius.core.session.Session@12a16cfd failed: Failed to execute protocol: null:[agents.anac.y2013.MetaAgent.MetaAgent2013, agents.SimilarityAgent, /Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class];60rounds;No;;0;;;;;;MetaAgent2013;SimilarityAgent;Agent21;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;14;Session genius.core.session.Session@76ae2770 failed: Failed to execute protocol: null:[agents.SimilarityAgent, agents.SimilarityAgent, /Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class];60rounds;No;;0;;;;;;SimilarityAgent;SimilarityAgent;Agent21;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
2.554;59;;60rounds;Yes;No;3;0.58083;0.95256;0.00000;0.44991;2.13706;Agent21@33;Agent21@34;MetaAgent2013@35;0.5808333333333333;0.6036696609166442;0.9525594478616071;0.5808333333333333;0.6036696609166442;0.9525594478616071;0.5808333333333333;0.6036696609166442;0.0;0.0;0.0;0.0;0.5808333333333333;0.6036696609166442;0.9525594478616071;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.339;61;;60rounds;Yes;No;3;0.58083;0.95256;0.00000;0.44991;2.13706;MetaAgent2013@36;Agent21@37;MetaAgent2013@38;0.5808333333333333;0.6036696609166442;0.9525594478616071;0.5808333333333333;0.6036696609166442;0.9525594478616071;0.0;0.6036696609166442;0.0;0.0;0.0;0.0;0.5808333333333333;0.6036696609166442;0.9525594478616071;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.224;56;;60rounds;Yes;No;3;0.58083;0.95256;0.00000;0.44991;2.13706;SimilarityAgent@39;Agent21@40;MetaAgent2013@41;0.5808333333333333;0.6036696609166442;0.9525594478616071;0.5808333333333333;0.6036696609166442;0.9525594478616071;0.0;0.6036696609166442;0.0;0.0;0.0;0.0;0.5808333333333333;0.6036696609166442;0.9525594478616071;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.271;61;;60rounds;No;No;1;0.00000;0.00000;1.16612;1.41191;0.00000;Agent21@42;MetaAgent2013@43;MetaAgent2013@44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.145;61;;60rounds;No;No;1;0.00000;0.00000;1.16612;1.41191;0.00000;MetaAgent2013@45;MetaAgent2013@46;MetaAgent2013@47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.219;61;;60rounds;No;No;1;0.00000;0.00000;1.16612;1.41191;0.00000;SimilarityAgent@48;MetaAgent2013@49;MetaAgent2013@50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;56;Session genius.core.session.Session@5cce58ee failed: Failed to execute protocol: null:[/Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class, agents.SimilarityAgent, agents.anac.y2013.MetaAgent.MetaAgent2013];60rounds;No;;0;;;;;;Agent21;SimilarityAgent;MetaAgent2013;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;60;Session genius.core.session.Session@5c887bf0 failed: Failed to execute protocol: null:[agents.anac.y2013.MetaAgent.MetaAgent2013, agents.SimilarityAgent, agents.anac.y2013.MetaAgent.MetaAgent2013];60rounds;No;;0;;;;;;MetaAgent2013;SimilarityAgent;MetaAgent2013;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;14;Session genius.core.session.Session@39dccb0e failed: Failed to execute protocol: null:[agents.SimilarityAgent, agents.SimilarityAgent, agents.anac.y2013.MetaAgent.MetaAgent2013];60rounds;No;;0;;;;;;SimilarityAgent;SimilarityAgent;MetaAgent2013;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
1.944;45;;60rounds;Yes;No;3;0.54727;0.81500;0.09453;0.24009;2.12436;Agent21@60;Agent21@61;SimilarityAgent@62;0.815;0.7620935529492956;0.5472703909026185;0.815;0.7620935529492956;0.5472703909026185;0.815;0.7620935529492956;0.0;0.0;0.0;0.0;0.815;0.7620935529492956;0.5472703909026185;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.520;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;MetaAgent2013@63;Agent21@64;SimilarityAgent@65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;14;Session genius.core.session.Session@61b959ed failed: Failed to execute protocol: null:[agents.SimilarityAgent, /Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class, agents.SimilarityAgent];60rounds;No;;0;;;;;;SimilarityAgent;Agent21;SimilarityAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
1.330;53;;60rounds;Yes;No;3;0.61203;0.97619;0.00000;0.13205;2.30988;Agent21@69;MetaAgent2013@70;SimilarityAgent@71;0.7216666666666667;0.9761884907982836;0.6120294061545479;0.7216666666666667;0.9761884907982836;0.6120294061545479;0.7216666666666667;0.0;0.0;0.0;0.0;0.0;0.7216666666666667;0.9761884907982836;0.6120294061545479;party1_utility.xml;party2_utility.xml;party3_utility.xml
;60;Session genius.core.session.Session@3bb33b15 failed: Failed to execute protocol: null:[agents.anac.y2013.MetaAgent.MetaAgent2013, agents.anac.y2013.MetaAgent.MetaAgent2013, agents.SimilarityAgent];60rounds;No;;0;;;;;;MetaAgent2013;MetaAgent2013;SimilarityAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;15;Session genius.core.session.Session@29fa8e5d failed: Failed to execute protocol: null:[agents.SimilarityAgent, agents.anac.y2013.MetaAgent.MetaAgent2013, agents.SimilarityAgent];60rounds;No;;0;;;;;;SimilarityAgent;MetaAgent2013;SimilarityAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;18;Session genius.core.session.Session@472b93e7 failed: Failed to execute protocol: null:[/Users/kenielpeart/IdeaProjects/Group21/out/production/Group21/group21/Agent21.class, agents.SimilarityAgent, agents.SimilarityAgent];60rounds;No;;0;;;;;;Agent21;SimilarityAgent;SimilarityAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;22;Session genius.core.session.Session@65e26384 failed: Failed to execute protocol: null:[agents.anac.y2013.MetaAgent.MetaAgent2013, agents.SimilarityAgent, agents.SimilarityAgent];60rounds;No;;0;;;;;;MetaAgent2013;SimilarityAgent;SimilarityAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;8;Session genius.core.session.Session@18979103 failed: Failed to execute protocol: null:[agents.SimilarityAgent, agents.SimilarityAgent, agents.SimilarityAgent];60rounds;No;;0;;;;;;SimilarityAgent;SimilarityAgent;SimilarityAgent;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
