sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
2.337;52;;60rounds;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;Agent21@0;Agent21@1;0.815;0.785905062151012;0.815;0.785905062151012;0.815;0.785905062151012;0.0;0.0;0.815;0.785905062151012;party1_utility.xml;party2_utility.xml
1.088;47;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;TimeDependentAgentBoulware@2;Agent21@3;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.369;16;;60rounds;Yes;No;2;0.70917;0.95971;0.02068;0.08198;1.66888;TimeDependentAgentConceder@4;Agent21@5;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.0;0.9597117522430285;0.0;0.0;0.7091666666666667;0.9597117522430285;party1_utility.xml;party2_utility.xml
2.123;56;;60rounds;Yes;No;2;0.53259;0.89083;0.09232;0.40988;1.42342;NiceTitForTat@6;Agent21@7;0.8908333333333334;0.5325864542294909;0.8908333333333334;0.5325864542294909;0.0;0.5325864542294909;0.0;0.0;0.8908333333333334;0.5325864542294909;party1_utility.xml;party2_utility.xml
0.856;22;;60rounds;Yes;No;2;0.70917;0.95971;0.02068;0.08198;1.66888;IAMhaggler@8;Agent21@9;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.0;0.9597117522430285;0.0;0.0;0.7091666666666667;0.9597117522430285;party1_utility.xml;party2_utility.xml
3.216;52;;60rounds;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;BRAMAgent@10;Agent21@11;0.815;0.785905062151012;0.815;0.785905062151012;0.0;0.785905062151012;0.0;0.0;0.815;0.785905062151012;party1_utility.xml;party2_utility.xml
1.396;59;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@12;Agent21@13;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
1.674;45;;60rounds;Yes;No;2;0.77250;0.88764;0.02068;0.04279;1.66014;BayesianAgent@14;Agent21@15;0.7725;0.8876372684293143;0.7725;0.8876372684293143;0.0;0.8876372684293143;0.0;0.0;0.7725;0.8876372684293143;party1_utility.xml;party2_utility.xml
1.117;47;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;GrandmaAgent@16;Agent21@17;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.198;51;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Agent21@18;TimeDependentAgentBoulware@19;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.023;50;;60rounds;Yes;No;2;0.73764;0.81500;0.06334;0.19327;1.55264;TimeDependentAgentBoulware@20;TimeDependentAgentBoulware@21;0.8150000000000002;0.7376420875390144;0.8150000000000002;0.7376420875390144;0.0;0.0;0.0;0.0;0.8150000000000002;0.7376420875390144;party1_utility.xml;party2_utility.xml
0.007;17;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TimeDependentAgentConceder@22;TimeDependentAgentBoulware@23;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.859;57;;60rounds;Yes;No;2;0.54227;0.91167;0.07924;0.40653;1.45394;NiceTitForTat@24;TimeDependentAgentBoulware@25;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.5422699184244845;0.0;0.0;0.0;0.0;0.9116666666666667;0.5422699184244845;party1_utility.xml;party2_utility.xml
0.443;32;;60rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;IAMhaggler@26;TimeDependentAgentBoulware@27;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;0.0;0.0;0.7216666666666667;0.9761884907982836;party1_utility.xml;party2_utility.xml
2.049;56;;60rounds;Yes;No;2;0.52750;0.83083;0.14786;0.40368;1.35833;BRAMAgent@28;TimeDependentAgentBoulware@29;0.8308333333333334;0.5274977137622326;0.8308333333333334;0.5274977137622326;0.0;0.0;0.0;0.0;0.8308333333333334;0.5274977137622326;party1_utility.xml;party2_utility.xml
0.028;60;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@30;TimeDependentAgentBoulware@31;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
