sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.022;52;;60rounds;Yes;No;2;0.63003;0.88683;0.02031;0.25911;1.51686;BoulwareNegotiationParty@9846;BoulwareNegotiationParty@9847;0.6300274011797506;0.8868282421041419;0.6300274011797506;0.8868282421041419;0.6300274011797506;0.8868282421041419;0.0;0.0;0.6300274011797506;0.8868282421041419;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.006;17;;60rounds;Yes;No;2;0.50582;1.00000;0.00000;0.42540;1.50582;ConcederNegotiationParty@9848;BoulwareNegotiationParty@9849;0.5058239989977413;1.0;0.5058239989977413;1.0;0.5058239989977413;1.0;0.0;0.0;0.5058239989977413;1.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.144;48;;60rounds;Yes;No;2;0.59292;0.76899;0.10868;0.25816;1.36192;Agent21@9850;BoulwareNegotiationParty@9851;0.5929208149180111;0.7689949508385244;0.5929208149180111;0.7689949508385244;0.5929208149180111;0.7689949508385244;0.0;0.0;0.5929208149180111;0.7689949508385244;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.157;52;;60rounds;Yes;No;2;0.64269;0.87733;0.04286;0.11118;1.52002;BayesianAgent@9852;BoulwareNegotiationParty@9853;0.8773255803629357;0.6426903989593308;0.8773255803629357;0.6426903989593308;0.0;0.6426903989593308;0.0;0.0;0.8773255803629357;0.6426903989593308;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.890;53;;60rounds;Yes;No;2;0.66721;0.75820;0.11850;0.12431;1.42542;IAMhaggler2011@9854;BoulwareNegotiationParty@9855;0.758202750335875;0.6672141202155838;0.758202750335875;0.6672141202155838;0.0;0.6672141202155838;0.0;0.0;0.758202750335875;0.6672141202155838;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.193;56;;60rounds;Yes;No;2;0.49807;0.91972;0.02625;0.26183;1.41779;NiceTitForTat@9856;BoulwareNegotiationParty@9857;0.9197191881843816;0.4980745865129296;0.9197191881843816;0.4980745865129296;0.0;0.4980745865129296;0.0;0.0;0.9197191881843816;0.4980745865129296;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.027;57;;60rounds;Yes;No;2;0.45586;0.83754;0.11260;0.29499;1.29340;BRAMAgent@9858;BoulwareNegotiationParty@9859;0.8375385799253141;0.4558587363539397;0.8375385799253141;0.4558587363539397;0.0;0.4558587363539397;0.0;0.0;0.8375385799253141;0.4558587363539397;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.018;57;;60rounds;Yes;No;2;0.43419;1.00000;0.00000;0.34996;1.43419;Gahboninho@9860;BoulwareNegotiationParty@9861;1.0;0.43419005395476573;1.0;0.43419005395476573;0.0;0.43419005395476573;0.0;0.0;1.0;0.43419005395476573;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.046;35;;60rounds;Yes;No;2;0.56742;0.96071;0.00000;0.35249;1.52814;IAMhaggler@9862;BoulwareNegotiationParty@9863;0.5674245695783413;0.960711457693328;0.5674245695783413;0.960711457693328;0.0;0.960711457693328;0.0;0.0;0.5674245695783413;0.960711457693328;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.027;53;;60rounds;Yes;No;2;0.62868;0.72857;0.16708;0.17235;1.35726;Agent_K@9864;BoulwareNegotiationParty@9865;0.7285728263502117;0.6286846092378972;0.7285728263502117;0.6286846092378972;0.0;0.6286846092378972;0.0;0.0;0.7285728263502117;0.6286846092378972;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.006;22;;60rounds;Yes;No;2;0.43419;1.00000;0.00000;0.34996;1.43419;BoulwareNegotiationParty@9866;ConcederNegotiationParty@9867;1.0;0.43419005395476573;1.0;0.43419005395476573;1.0;0.43419005395476573;0.0;0.0;1.0;0.43419005395476573;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.003;9;;60rounds;Yes;No;2;0.66113;0.78114;0.04074;0.19174;1.44227;ConcederNegotiationParty@9868;ConcederNegotiationParty@9869;0.6611318341562206;0.7811400525556467;0.6611318341562206;0.7811400525556467;0.6611318341562206;0.7811400525556467;0.0;0.0;0.6611318341562206;0.7811400525556467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.080;20;;60rounds;Yes;No;2;0.61714;0.91173;0.00000;0.14685;1.52887;Agent21@9870;ConcederNegotiationParty@9871;0.9117316425696294;0.6171365859360652;0.9117316425696294;0.6171365859360652;0.9117316425696294;0.6171365859360652;0.0;0.0;0.9117316425696294;0.6171365859360652;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.033;9;;60rounds;Yes;No;2;0.72502;0.87336;0.00000;0.03434;1.59837;BayesianAgent@9872;ConcederNegotiationParty@9873;0.873358463175054;0.7250163383509155;0.873358463175054;0.7250163383509155;0.0;0.7250163383509155;0.0;0.0;0.873358463175054;0.7250163383509155;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.182;16;;60rounds;Yes;No;2;0.53846;0.79536;0.14047;0.21914;1.33382;IAMhaggler2011@9874;ConcederNegotiationParty@9875;0.7953641617255109;0.538455561131269;0.7953641617255109;0.538455561131269;0.0;0.538455561131269;0.0;0.0;0.7953641617255109;0.538455561131269;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.069;16;;60rounds;Yes;No;2;0.69946;0.90776;0.00000;0.07681;1.60723;NiceTitForTat@9876;ConcederNegotiationParty@9877;0.9077645253817476;0.69946252532765;0.9077645253817476;0.69946252532765;0.0;0.69946252532765;0.0;0.0;0.9077645253817476;0.69946252532765;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.012;22;;60rounds;Yes;No;2;0.48024;0.92709;0.02031;0.28100;1.40732;BRAMAgent@9878;ConcederNegotiationParty@9879;0.9270885923427177;0.4802362726105589;0.9270885923427177;0.4802362726105589;0.0;0.4802362726105589;0.0;0.0;0.9270885923427177;0.4802362726105589;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.007;22;;60rounds;Yes;No;2;0.43419;1.00000;0.00000;0.34996;1.43419;Gahboninho@9880;ConcederNegotiationParty@9881;1.0;0.43419005395476573;1.0;0.43419005395476573;0.0;0.43419005395476573;0.0;0.0;1.0;0.43419005395476573;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.024;16;;60rounds;Yes;No;2;0.69946;0.90776;0.00000;0.07681;1.60723;IAMhaggler@9882;ConcederNegotiationParty@9883;0.9077645253817476;0.69946252532765;0.9077645253817476;0.69946252532765;0.0;0.69946252532765;0.0;0.0;0.9077645253817476;0.69946252532765;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.017;22;;60rounds;Yes;No;2;0.46468;0.97917;0.00000;0.31354;1.44385;Agent_K@9884;ConcederNegotiationParty@9885;0.9791726347636204;0.4646811426183156;0.9791726347636204;0.4646811426183156;0.0;0.4646811426183156;0.0;0.0;0.9791726347636204;0.4646811426183156;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.148;50;;60rounds;Yes;No;2;0.58345;0.85724;0.06407;0.16726;1.44069;BoulwareNegotiationParty@9886;Agent21@9887;0.8572370924752428;0.5834496347708693;0.8572370924752428;0.5834496347708693;0.8572370924752428;0.5834496347708693;0.0;0.0;0.8572370924752428;0.5834496347708693;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.051;12;;60rounds;Yes;No;2;0.63003;0.88683;0.02031;0.25911;1.51686;ConcederNegotiationParty@9888;Agent21@9889;0.6300274011797506;0.8868282421041419;0.6300274011797506;0.8868282421041419;0.6300274011797506;0.8868282421041419;0.0;0.0;0.6300274011797506;0.8868282421041419;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.229;38;;60rounds;Yes;No;2;0.68946;0.89009;0.02031;0.07285;1.57955;Agent21@9890;Agent21@9891;0.8900865451675384;0.6894638422966277;0.8900865451675384;0.6894638422966277;0.8900865451675384;0.6894638422966277;0.0;0.0;0.8900865451675384;0.6894638422966277;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.297;51;;60rounds;Yes;No;2;0.72502;0.87336;0.00000;0.03434;1.59837;BayesianAgent@9892;Agent21@9893;0.873358463175054;0.7250163383509155;0.873358463175054;0.7250163383509155;0.0;0.7250163383509155;0.0;0.0;0.873358463175054;0.7250163383509155;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.710;41;;60rounds;Yes;No;2;0.66380;0.76695;0.11651;0.12040;1.43075;IAMhaggler2011@9894;Agent21@9895;0.7669482027091524;0.6638019759127949;0.7669482027091524;0.6638019759127949;0.0;0.6638019759127949;0.0;0.0;0.7669482027091524;0.6638019759127949;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.370;53;;60rounds;Yes;No;2;0.69946;0.90776;0.00000;0.07681;1.60723;NiceTitForTat@9896;Agent21@9897;0.9077645253817476;0.69946252532765;0.9077645253817476;0.69946252532765;0.0;0.69946252532765;0.0;0.0;0.9077645253817476;0.69946252532765;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.174;59;;60rounds;Yes;No;2;0.53512;0.88543;0.05436;0.21828;1.42055;BRAMAgent@9898;Agent21@9899;0.8854338618699584;0.5351202322049488;0.8854338618699584;0.5351202322049488;0.0;0.5351202322049488;0.0;0.0;0.8854338618699584;0.5351202322049488;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.177;59;;60rounds;Yes;No;2;0.43419;1.00000;0.00000;0.34996;1.43419;Gahboninho@9900;Agent21@9901;1.0;0.43419005395476573;1.0;0.43419005395476573;0.0;0.43419005395476573;0.0;0.0;1.0;0.43419005395476573;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.117;26;;60rounds;Yes;No;2;0.63423;0.88902;0.01558;0.25673;1.52325;IAMhaggler@9902;Agent21@9903;0.6342273421638764;0.8890198049704969;0.6342273421638764;0.8890198049704969;0.0;0.8890198049704969;0.0;0.0;0.6342273421638764;0.8890198049704969;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.170;50;;60rounds;Yes;No;2;0.71502;0.85568;0.02031;0.03594;1.57070;Agent_K@9904;Agent21@9905;0.8556804829608448;0.7150176553198933;0.8556804829608448;0.7150176553198933;0.0;0.7150176553198933;0.0;0.0;0.8556804829608448;0.7150176553198933;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.141;48;;60rounds;Yes;No;2;0.70835;0.75677;0.08958;0.10272;1.46513;BoulwareNegotiationParty@9906;BayesianAgent@9907;0.7567717927092927;0.7083543012151912;0.7567717927092927;0.7083543012151912;0.7567717927092927;0.0;0.0;0.0;0.7567717927092927;0.7083543012151912;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.037;10;;60rounds;Yes;No;2;0.69157;0.83791;0.00000;0.18128;1.52948;ConcederNegotiationParty@9908;BayesianAgent@9909;0.6915707791750324;0.8379121789239659;0.6915707791750324;0.8379121789239659;0.6915707791750324;0.0;0.0;0.0;0.6915707791750324;0.8379121789239659;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.191;37;;60rounds;Yes;No;2;0.69946;0.90776;0.00000;0.07681;1.60723;Agent21@9910;BayesianAgent@9911;0.9077645253817476;0.69946252532765;0.9077645253817476;0.69946252532765;0.9077645253817476;0.0;0.0;0.0;0.9077645253817476;0.69946252532765;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.212;40;;60rounds;Yes;No;2;0.76335;0.82748;0.00000;0.02626;1.59083;BayesianAgent@9912;BayesianAgent@9913;0.827483713566129;0.7633470578858138;0.827483713566129;0.7633470578858138;0.0;0.0;0.0;0.0;0.827483713566129;0.7633470578858138;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.090;55;;60rounds;Yes;No;2;0.76613;0.79834;0.02031;0.05436;1.56446;IAMhaggler2011@9914;BayesianAgent@9915;0.7983370459496888;0.7661252813664243;0.7983370459496888;0.7661252813664243;0.0;0.0;0.0;0.0;0.7983370459496888;0.7661252813664243;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.422;61;;60rounds;Yes;No;2;0.64771;0.89683;0.00000;0.24997;1.54453;NiceTitForTat@9916;BayesianAgent@9917;0.6477053813939597;0.8968269251351642;0.6477053813939597;0.8968269251351642;0.0;0.0;0.0;0.0;0.6477053813939597;0.8968269251351642;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.179;61;;60rounds;Yes;No;2;0.57665;0.85561;0.07089;0.29323;1.43226;BRAMAgent@9918;BayesianAgent@9919;0.5766510813564765;0.8556099287590883;0.5766510813564765;0.8556099287590883;0.0;0.0;0.0;0.0;0.5766510813564765;0.8556099287590883;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.179;61;;60rounds;No;No;1;0.00000;0.00000;1.06146;1.13427;0.00000;Gahboninho@9920;BayesianAgent@9921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.093;24;;60rounds;Yes;No;2;0.65167;0.81450;0.04626;0.20878;1.46617;IAMhaggler@9922;BayesianAgent@9923;0.6516724985818416;0.8145009857435794;0.6516724985818416;0.8145009857435794;0.0;0.0;0.0;0.0;0.6516724985818416;0.8145009857435794;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.157;53;;60rounds;Yes;No;2;0.66113;0.78114;0.04074;0.19174;1.44227;Agent_K@9924;BayesianAgent@9925;0.6611318341562206;0.7811400525556467;0.6611318341562206;0.7811400525556467;0.0;0.0;0.0;0.0;0.6611318341562206;0.7811400525556467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.843;52;;60rounds;Yes;No;2;0.63003;0.88683;0.02031;0.25911;1.51686;BoulwareNegotiationParty@9926;IAMhaggler2011@9927;0.6300274011797506;0.8868282421041419;0.6300274011797506;0.8868282421041419;0.6300274011797506;0.0;0.0;0.0;0.6300274011797506;0.8868282421041419;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.122;14;;60rounds;Yes;No;2;0.59529;0.81847;0.07650;0.26401;1.41376;ConcederNegotiationParty@9928;IAMhaggler2011@9929;0.5952917862186069;0.8184719183076311;0.5952917862186069;0.8184719183076311;0.5952917862186069;0.0;0.0;0.0;0.5952917862186069;0.8184719183076311;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.544;35;;60rounds;Yes;No;2;0.72502;0.87336;0.00000;0.03434;1.59837;Agent21@9930;IAMhaggler2011@9931;0.873358463175054;0.7250163383509155;0.873358463175054;0.7250163383509155;0.873358463175054;0.0;0.0;0.0;0.873358463175054;0.7250163383509155;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.333;23;;60rounds;Yes;No;2;0.75057;0.85042;0.00000;0.00000;1.60099;BayesianAgent@9932;IAMhaggler2011@9933;0.8504210883705916;0.750570151374181;0.8504210883705916;0.750570151374181;0.0;0.0;0.0;0.0;0.8504210883705916;0.750570151374181;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
0.974;35;;60rounds;Yes;No;2;0.75057;0.85042;0.00000;0.00000;1.60099;IAMhaggler2011@9934;IAMhaggler2011@9935;0.8504210883705916;0.750570151374181;0.8504210883705916;0.750570151374181;0.0;0.0;0.0;0.0;0.8504210883705916;0.750570151374181;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
1.010;52;;60rounds;Yes;No;2;0.69946;0.90776;0.00000;0.07681;1.60723;NiceTitForTat@9936;IAMhaggler2011@9937;0.9077645253817476;0.69946252532765;0.9077645253817476;0.69946252532765;0.0;0.0;0.0;0.0;0.9077645253817476;0.69946252532765;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
2.937;56;;60rounds;Yes;No;2;0.72502;0.87336;0.00000;0.03434;1.59837;BRAMAgent@9938;IAMhaggler2011@9939;0.873358463175054;0.7250163383509155;0.873358463175054;0.7250163383509155;0.0;0.0;0.0;0.0;0.873358463175054;0.7250163383509155;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml
